Müller, Hans,  67742 Lauterecken, 1
Petersen, Peter, 18439 Stralsund,  2
Johnson, Johnny, 88888 made up, 3
Millenium, Milly, 77777 made up too, 4
Müller, Jonas, 32323 Hansstadt, 5
Fujitsu, Tastatur, 42342 Japan, 6
Andersson, Anders, 32132 Schweden - ☀, 2
<<<<<<< HEAD:sample-input.csv
Bart, Bertram, 12313 Wasweißich, 1 
Gerber, Gerda, 76535 Woanders, 3 
Klaussen, Klaus, 43246 Hierach, 2
=======
Bart, Bertram,  12313 Wasweißich, 1 
Gerber, Gerda, 76535 Woanders, 3 
Klaussen, Klaus, 43246 Hierach, 2
Hassan, Sindhu, 91052 Erlangen, 1
>>>>>>> 1c2122b (feature: implement all endpoints):src/main/resources/sample-input.csv
